condensor_pressure(atm),reboiler(pot)_heat_duty(Watt),reflux_ratio,input_mass_fraction_of_acetic_acid,pot_pressure(atm),daily_work(min),produced_acetic_acid_mass_fraction,reboiler(pot)_temperature(C),condensor_temperature(C),upper_product_flow_rate(kg/hr),condensor_mass_flow_outlet_rate,fraction_over_pressure,duty_over_frac_multiplyed_by_pressure,reboiler_temp_on_flowrate,condensor_temp_on_flowrate,upper_product_precent,aceticindutyoverflow,refluxin_pot_devidedby_cond_temp,daily_work_multip_duty,order,order,atmosphere_pressure(kpa)
0.1,466.7,0.2,0.99,0.198692327,78.4891,0.993735,72.56910443,56.4060047,3.747279337,4.496735204,9.93735,4696.423091,19.36581127,15.05252201,99.3735,123.7634248,1.995795771,36630.86297,2.2,2,10.1325
0.1,466.7,0.4,0.99,0.198692327,87.1483,0.994775,72.61114014,56.39293151,3.17445539,4.444237547,9.94775,4691.513156,22.87357395,17.7646004,99.4775,146.2491783,4.019896757,40672.11161,2.3,2,10.1325
0.1,466.7,0.6,0.99,0.198692327,95.8063,0.995847,72.65525263,56.37452896,2.759390984,4.415025574,9.95847,4686.46288,26.33017686,20.43006203,99.5847,168.4291199,4.950356984,44712.80021,2.4,2,10.1325
0.1,466.7,0.8,0.99,0.198692327,104.465,0.997028,72.70209319,56.35058365,2.438665613,4.389598104,9.97028,4680.911669,29.81224355,23.10713833,99.7028,190.8063841,5.555936689,48753.8155,2.5,3,10.1325
0.1,466.7,1,0.99,0.198692327,113.117,0.99811,72.74763339,56.32556113,2.184894835,4.36978967,9.9811,4675.837333,33.29571393,25.77952963,99.811,213.1992486,6.002119225,52791.7039,2.7,3,10.1325
0.1,466.7,1.2,0.99,0.198692327,121.767,0.99889,72.7796875,56.30521998,1.979213254,4.354269159,9.9889,4672.186127,36.77202916,28.44828361,99.889,235.5390264,6.357163608,56828.6589,3,3,10.1325
0.1,466.7,1.4,0.99,0.198692327,130.418,0.999379,72.80344292,56.2923755,1.80891983,4.341407591,9.99379,4669.900008,40.24691516,31.11933132,99.9379,257.8390549,6.642170651,60866.0806,3.2,3,10.1325
0.1,466.7,1.6,0.99,0.198692327,139.066,0.99964,72.81272049,56.28488096,1.66514687,4.329381862,9.9964,4668.680725,43.72750644,33.80175164,99.964,280.1746779,6.880993878,64902.1022,3.4,3,10.1325
0.1,466.7,1.8,0.99,0.198692327,147.724,0.999779,72.8231809,56.2807918,1.543230079,4.321044222,9.99779,4668.031635,47.18880346,36.46947565,99.9779,302.3508066,7.08724409,68942.7908,3.7,4,10.1325
0.1,466.7,2,0.99,0.198692327,156.385,0.999846,72.82292194,56.27836225,1.437105652,4.311316955,9.99846,4667.718829,50.67332514,39.16090803,99.9846,324.6999465,7.267557061,72984.8795,3.8,4,10.1325
0.1,466.7,2.2,0.99,0.198692327,165.031,0.99991,72.82926152,56.2769694,1.345588778,4.305884089,9.9991,4667.420068,54.12445669,41.82330466,99.991,346.8058033,7.428959669,77019.9677,4,4,10.1325
0.1,466.7,2.4,0.99,0.198692327,173.632,0.999924,72.83143413,56.27607754,1.264729033,4.300078714,9.99924,4667.354719,57.58659144,44.49654911,99.9924,368.9838048,7.573749237,81034.0544,4.1,4,10.1325
0.1,466.7,2.6,0.99,0.198692327,182.287,0.999945,72.83259198,56.27549221,1.192830342,4.294189231,9.99945,4667.256699,61.0586346,47.17811933,99.9945,391.2327807,7.705708848,85073.3429,4.3,4,10.1325
0.1,466.7,2.8,0.99,0.198692327,190.905,0.999957,72.83407465,56.27509637,1.128756581,4.289275009,9.99957,4667.20069,64.52593576,49.85583013,99.9957,413.446034,7.826473567,89095.3635,4.4,4,10.1325
0.1,466.7,3,0.99,0.198692327,199.565,0.999965,72.83356732,56.27371769,1.071234888,4.284939551,9.99965,4667.163351,67.99028686,52.53163273,99.9965,435.6501742,7.937862791,93136.9855,4.5,4,10.1325
0.1,466.7,3.2,0.99,0.198692327,208.181,0.999971,72.83519394,56.27461386,1.019248538,4.28084386,9.99971,4667.135347,71.45969919,55.21186615,99.9971,457.8730783,8.041392697,97158.0727,4.5,5,10.1325
0.1,466.7,3.4,0.99,0.198692327,216.849,0.999976,72.83435357,56.2744613,0.972081312,4.277157773,9.99976,4667.112011,74.92619462,57.89069352,99.9976,480.0923477,8.137519236,101203.4283,4.6,5,10.1325
